id	filename	md5	size	state
8d4f89d4-429d-4562-b41a-833b02470621	TCGA-RZ-AB0B-01A-01-TS1.443DF25B-C6E5-4F29-B934-48914A54EEE4.svs	16f7e5cbea8c13f662893e6af5819de0	268391705	released
07857ca9-de31-4fb0-bdd7-747a4ac7f4ac	TCGA-V4-A9F4-01A-01-TS1.41D5E0ED-0CD0-4680-ADB0-8F8CECFE21D8.svs	9bc3232d93ddbb40c4c91a931c3b8598	145690975	released
cf2ec8ae-5aae-42d4-bdc0-ada8c97b620e	TCGA-V4-A9EW-01A-01-TS1.DC128165-454B-4D1C-9D74-679BFCB42492.svs	24283123b41729dd24bbff3c3feeaf4f	222252203	released
5f44b79d-46ec-406a-935f-0db73dad40e1	TCGA-V4-A9EA-01A-01-TS1.0CAAD50A-811B-460E-AA14-B959B68461ED.svs	b1b6fc285ae9b3e433e1d5f891494e31	329182611	released
2382c2ab-2716-4fb5-b0e6-4a2a2ba4c62d	TCGA-YZ-A985-01A-01-TS1.42117713-8C65-4A70-8FC2-871CA1C8E3E2.svs	3fbda88b9939ada79fb8e28a1a9a89d6	295499763	released
2a136463-d837-46b9-bb3a-05f0540619ae	TCGA-VD-A8KJ-01A-01-TS1.A044F4EC-BD24-484E-AF5C-2B0A62D47893.svs	e49c8e3a22fcab1c907e2221a7f4b513	107177767	released
1e447be5-5db9-4886-867c-5cfcdd1fd8c0	TCGA-V4-A9EJ-01A-01-TS1.9CC20349-1014-4AE9-A5FB-582417C5307A.svs	77352a6ab8608e1643e90ee5ab8ff698	288294675	released
308617c7-a132-46d9-b23d-d0d37608be81	TCGA-WC-A885-01A-01-TS1.D88D8004-A8CF-495A-8E55-C2F968FA35B2.svs	2e8b14fd0c88022b1b3ec8f0de76fd8e	148648947	released
e7e6df0a-4c47-40bf-a3ac-f131e62e3f01	TCGA-WC-A888-01A-01-TS1.FB884DB8-34B2-43EF-ADDF-1A0627097228.svs	67d7e18f7570a129210c3813d726df44	302936971	released
9b059808-d194-4c6a-a2f5-8b478802798d	TCGA-WC-A87Y-01A-01-TS1.2593531D-75BB-490D-BFC3-C6F6F9741FF9.svs	c5245cf71241f57a697afaa0f858c5aa	378323493	released
211fc549-e83d-470d-ae4e-01a724277716	TCGA-VD-A8KD-01A-01-TS1.25C30E9E-485D-4435-88F0-F907D82A1105.svs	466cfc8e8df47a45756133ba3a3a1413	484353881	released
6e97ea7e-078a-414b-884c-c5588610ec3a	TCGA-YZ-A982-01A-01-TS1.B67AEEF6-1865-4E49-A862-62D97873D075.svs	809dccff35ab16d5de90989db21bbe7e	352057607	released
07990b8e-7ace-44d8-bf46-0a0e9de22268	TCGA-V4-A9F7-01A-01-TS1.D36D5551-BE74-44A4-8FEE-5EFCB2C3E747.svs	8bb40f2415e519910398f22991d3c35d	360860443	released
610c1102-dad7-4c72-b8fc-48816bffa54b	TCGA-V4-A9EI-01A-01-TS1.A23BFC72-8D6A-46B2-88EF-E7ABB8E194E1.svs	53807e11e8f8a7070c39018cc0987e5b	315526967	released
5dce6a61-b470-4ffd-a867-b9385241f947	TCGA-WC-A87W-01A-01-TS1.1B425F16-246B-4A61-BB51-C7ACA0E06D06.svs	c3d021f2d9c92028dec85f774f5990a1	117783315	released
6d3fe307-71db-41d8-bc0b-c0e08aa62723	TCGA-VD-A8KI-01A-01-TS1.9A2BE160-CC77-49B2-AEF1-47E67014E00C.svs	bfffb251576cd3277837dc7075396ac8	216825205	released
1d9e6304-102b-42c7-8663-6051adfe1ff0	TCGA-V4-A9EL-01A-01-TS1.840D8DF3-4EA5-4F16-93A3-27573C140346.svs	ea60210a3d61796563eb0604dffdb408	180966925	released
0c57a405-3d66-4523-828e-fd2d860896bb	TCGA-V4-A9EZ-01A-01-TS1.680374F2-3491-495E-AA0E-32AD909EBA06.svs	ac5a36a5825c4d40a3170c7988ebcea8	191789037	released
6488c89c-bbc2-4d33-9c6e-e663794d8995	TCGA-V4-A9F1-01A-01-TS1.21821E56-01C1-431E-96FE-B0228688516A.svs	f25480398fd8ffd6ecd1bd2bb8a0d723	287480113	released
c86507be-903c-447a-91ef-d5d174701f8b	TCGA-VD-A8KL-01A-01-TS1.E85C7379-0956-49ED-9D58-1D36A80ADAAA.svs	8470c44d8cc90e8a7e808039558a38d0	233407865	released
2a84083a-ed48-438f-94f9-394ff9a808cb	TCGA-WC-A88A-01A-01-TS1.2677232C-077A-4919-8A68-E6C7F5BF1A36.svs	d33d4f5c4ca81e869524bc22a0ae1735	164424171	released
0f7bd293-7016-4617-8241-1da98a7b120a	TCGA-V4-A9ET-01A-01-TS1.A911D496-514D-40F0-B5C5-5AD33892856D.svs	b9fa1573acba0b691a763f5a5851b035	190354501	released
d46e3b6e-5ecc-4c56-8225-8bf1d70523ce	TCGA-YZ-A980-01A-01-TS1.131649CE-6C7D-4048-8465-6BE000776F74.svs	dd17c05aa3272c04426a2467153867b9	285433179	released
640e26fe-894a-4a85-93cd-fbb514644759	TCGA-WC-A87T-01A-01-TS1.FFB64BAA-ECD7-4F3B-BF36-787C8E0F6168.svs	0b8273e85af0bc68f52cc8eedc34f552	181590069	released
00d2b6d3-99d5-4660-82d1-8f96ab031014	TCGA-VD-A8KG-01A-01-TS1.8233B545-0398-4831-AEDE-2724CDE35CAA.svs	c9cc856faaa6791fd56f6feddbf4ffaa	154303073	released
31874f1d-c104-4d14-8d16-870c47149757	TCGA-V4-A9EV-01A-01-TS1.3EF54F15-7264-4533-A8CC-BFF541A2E88F.svs	24a59ae6bb280cfadd8c375498f771dd	542168143	released
15d34da7-e93c-4b49-8590-fe9fd04bebfa	TCGA-V4-A9EU-01A-01-TS1.BAE6D4F8-3807-4469-BE84-9C47731B82D9.svs	39a6d579d462b4aa015119b4ecea19ca	141972495	released
ad5f1190-d9f4-4a8a-84f9-61bc8b1830ce	TCGA-V4-A9F2-01A-01-TS1.7998D10A-A0D4-4A9B-9A44-54D1869BC518.svs	260f67c7bb4cc43dd95053f2e98cda50	288587565	released
35af74e3-9817-4efb-b9e1-ca747678c041	TCGA-VD-A8KK-01A-01-TS1.A7CF01E4-5F09-41D5-B09C-BD6250B565D3.svs	ac95aaa56d2a895f34445fc4c89f93ec	243619815	released
a14f1ffb-f03c-46bd-9640-4edf7d54f56a	TCGA-WC-A87U-01A-01-TS1.0CEAC0CF-941C-43B6-8272-C640D9E42D9D.svs	2a001f06f2ce40fdc14495adc63927eb	204561711	released
