id	filename	md5	size	state
7788a010-816b-46b5-b54a-c005a2daaea7	TCGA-ZH-A8Y6-01A-01-TS1.2E276578-18E5-41AF-86E8-55761DD0AEF9.svs	3295b61d5fea5e968c4b2001f0af88b1	334692905	released
4f726adc-e2a7-4de1-ba96-714c9a95b0eb	TCGA-ZU-A8S4-11A-01-TS1.D600B84A-256E-49B6-B88B-A17CB1F20CAD.svs	6d884b1c8c75021b35b81e48db09c60e	63344175	released
fb5d164e-7def-473b-9b95-4aba5f39e8b8	TCGA-ZK-AAYZ-01A-01-TSA.6E5B192E-FAEE-4E66-9008-5FC9FE76455B.svs	1b35727b790a3961c839098bb4101c1c	226428155	released
3c8cad4d-3344-44b6-a379-ba9b09b71077	TCGA-W5-AA2I-11A-01-TSA.A5550410-60AE-4379-9D50-C7FC484CA9BC.svs	af88bd239ef049307112e33f4dad20eb	134248189	released
79501618-835c-4307-be05-05563fcebbb2	TCGA-W5-AA2M-01A-01-TS1.1D5EF56C-B323-4C6E-831E-CE6C6F5B5809.svs	475a0da3554be1d70b202105245a5dad	394223717	released
e7f600cb-5d7b-4d83-b577-df01f28f6aef	TCGA-W5-AA30-11A-01-TSA.21DF9099-AB85-42F2-8027-4233D1308300.svs	e0aa6e32cca6cee008894e7a1a34e995	53042819	released
6bf7200d-d4cf-4085-a479-e354792f7390	TCGA-W5-AA39-01A-01-TS1.69BA9FA7-0E57-4862-8A11-62570DF1A8C0.svs	cab966e60ce08e3720e16f2e02a9c22e	409331867	released
ad9021e9-98b2-49c5-91d3-8afc9df97223	TCGA-W5-AA2W-01A-01-TS1.2BE0BA42-3D4D-485B-B3EA-B721F2018FF5.svs	2e2cd31421f7621ee81718f3946b51ed	416852103	released
66e846ba-745f-4b41-9649-1eaa329b01c7	TCGA-4G-AAZR-01A-01-TS1.26D227F7-7627-43AF-A684-5D0BF0253E00.svs	d817430ae7d3d01fa93af9341236a8d2	387469603	released
5bef9477-2b2c-43b7-a6ce-efe17ab7acce	TCGA-W6-AA0S-01A-01-TSA.B5B0E8A3-CF2B-4C64-8BB9-2735170C19D1.svs	4483edcebbe25696c37c0872a415ffc7	227036179	released
6173436a-4b24-4c83-bcc7-07a395535fe8	TCGA-W5-AA2O-01A-01-TSA.90E7868E-0605-43FD-A4A5-A2C0A6AC3AEE.svs	b9b5c0e8f1af37113dda0db679583e96	249926181	released
