id	filename	md5	size	state
6098d687-1935-48f1-8761-949e85ff93bf	TCGA-63-A5MH-01A-01-TS1.6BC6007E-8F8F-4B1D-ACF8-24524CE2411D.svs	5a745e6f8a1b9b982253a7ad45253db8	192927035	live
e382ae93-bfa1-44ea-b90f-75201e18be3d	TCGA-66-2754-01A-01-TS1.56a9fe5f-3bef-4738-b15b-9e15eb90c433.svs	04d83c7e2b599b954096f693dd156054	57359413	live
c09e289e-7098-4a64-9afc-9b84f7288ca5	TCGA-22-4594-11A-01-BS1.208cec93-2a86-4f9b-b150-8b5af3108aff.svs	13aebc23a83800b49f5571a38d6c5505	34614553	live
a523353a-9a3f-47b2-8a81-bbccea8b2062	TCGA-66-2777-01A-01-BS1.1783220c-befe-461d-b3f3-28ef865ae792.svs	cfdaa4d027c86bf053b0550c93bdab0c	77215793	live
eb638ad8-66ca-4feb-92bd-da1d23e1367e	TCGA-21-5787-01A-01-TS1.2920e24c-a22a-4a24-af55-a05f046093f2.svs	0e23729a1db66ed8a3f92c80dba371d3	156322401	live
a8af4ed5-c6d6-47f8-9f1c-3d47e4e98e28	TCGA-33-4538-01A-01-BS1.8d99e65d-7223-4edb-ba6c-8ec71e13d4a2.svs	91ba49f27684153a58ad9aa2b3bfcb17	47482191	live
080b5c08-f0d4-4414-8e0e-84ff54b90947	TCGA-22-4609-01A-01-BS1.57024670-5257-47d4-b230-a7b19742f226.svs	a914900f284e9d8a4ac507261fbedd48	130343499	live
8af49133-90e5-4a39-b678-b5dbe7376859	TCGA-66-2763-11A-01-BS1.8aefb339-a7a0-4b95-bf91-3ddd203435a2.svs	1493ec3e61a3b9a148846ee6da3df8f1	39601487	live
4bd42858-7b9f-49c8-91a6-a8eaea7888b6	TCGA-21-1075-01A-01-BS1.6842c0d2-e3db-4840-abb6-a012ea8bbe22.svs	bf599e2c3eea1991da4d13611da6c20d	141855941	live
571de847-632f-4dd9-ad7e-5274aac24e6f	TCGA-34-5231-01A-01-BS1.17f409b3-6bef-4f15-9df2-c3106fbd385a.svs	f17b8c89ac706665296cd1bda9201e0f	267162003	live
085703e0-ea4a-4d0e-b73d-581fe649451b	TCGA-66-2753-01A-01-TS1.bcd556e9-43e4-40bf-a647-82ae8999fa80.svs	ee6587108acadf77b2682a8972587b83	82479759	live
e1c8455d-5875-4eb4-bbd5-766879aace24	TCGA-22-4604-01A-01-TS1.7e669aac-3356-43e9-a405-95ecb3a5fbb7.svs	0620d00f6a9121e486fc7cfdccc0fead	128071359	live
2e250936-4544-4341-a0d6-7d701f662b81	TCGA-39-5016-01A-01-TS1.d2919568-4db2-4676-bb29-ea31af18a23e.svs	c25717fa5f1e143f9ddb04d34aa8438f	157659345	live
6808fad7-a7a6-4354-aa4d-ae6029dedfa1	TCGA-52-7812-01A-01-TS1.3874be41-7c81-4bc2-93ee-86e165f45886.svs	879a9d545ee3d54b507b7f2d45ba7b0f	183127851	live
e73bf794-95f6-4aa1-bdca-029252110325	TCGA-66-2758-01A-01-BS1.2acd383e-ed54-4f9b-8832-d3c7203cab25.svs	b201bfba24ccf8772935912d0070f9ab	180834875	live
9c8fe469-99d2-4b7c-8bde-bfe3f4f5a576	TCGA-60-2721-01A-01-TS1.4957a24e-9461-4c84-a44c-07489c996048.svs	665ca125e9496c8a72ae7a2f23c7b6b0	137451515	live
f13370bc-3d8d-4a21-9b14-0e2b9ab85304	TCGA-LA-A446-01A-02-TSB.BC646F3A-72C3-4701-BB58-DA3CE279DA2E.svs	870386771d7ebf5766ace62ba7e9e661	259704687	live
942dd9e9-a1ab-4328-a622-c54ba3ec0540	TCGA-85-8479-01A-01-BS1.d7ac53c4-e7ff-430b-941c-bae1bddab669.svs	4c0992578420974b8af851399b2b3c6c	206579171	live
e838d241-43c4-4f2c-a991-893126a2ff60	TCGA-37-4132-01A-01-TS1.1930959d-05dc-4615-8947-8a656911a530.svs	a2ba16b6d9092a8c1ca845f1c7a75d4b	206997457	live
