id	filename	md5	size	state
b1676bcc-2294-4e1c-809f-ddc3558e71ff	TCGA-KN-8421-01A-01-TS1.c88d72da-ac49-43fb-ad5b-483399b88a2f.svs	7dbb744e60885edb82b26e41afac8e68	427069069	released
90548444-591a-47f6-8bf3-fbc1d42d4582	TCGA-KN-8430-11A-01-TS1.aa5a7373-34cb-445c-ba94-bc37f78537b4.svs	87ae66fea27e64477d94ec552c330814	706537717	released
985fcef8-75a1-4d6c-9270-f10977cf577b	TCGA-KM-8639-01A-01-BS1.4c80c694-585b-4f06-b63b-52133a56a682.svs	72fa101d950b5a54ba8dbc44ae3a94d1	377721655	released
7dd53ed4-2c6a-491c-afbe-a0ede01999b2	TCGA-KO-8407-01A-01-BS1.832fd72d-e9d6-448c-96db-e0519b921088.svs	d7ddf32ae44b8da10b1ba57c9e8c5abd	1347519783	released
b048f9ec-92db-40d9-afaf-25066534ddf4	TCGA-KL-8335-11A-01-TS1.3c9d2f27-8737-46f3-ab61-6713568ddebe.svs	e1f4e6822832d266da1ab7c2387f7cf3	813606913	released
505ce888-1439-48d6-bbac-8a406ba809a3	TCGA-KN-8436-11A-01-TS1.d4b99a8d-3103-4981-942a-bb07af0cd22f.svs	8888ae08542d46c659d167ad9ee866a3	415188753	released
7d8313b6-ac63-49c9-b53f-dc64c00ce176	TCGA-KO-8416-01A-01-TS1.580b6f13-db4a-49d1-b451-82e2f61442a2.svs	fa142067a64e208349b7c8ebc9f13d1f	712888447	released
2bcf51e1-8f3f-4ad0-99ea-26bb1e8477f7	TCGA-KN-8424-11A-01-TS1.a9d5cfa2-c0e6-4d3b-836b-ff9aed45b000.svs	90e889f3067681a8f70290661ccc22ca	505304301	released
9a2c4e67-d3f2-45a3-9124-6161ae1ddd28	TCGA-KL-8326-11A-01-TS1.d7fbb3f2-2192-4e0c-a6fc-1e49794d8b2a.svs	d5e2f167e2bb434e68b1c1d313085ff1	1223742131	released
7f8e7211-013e-4681-9d06-bb8b0f292ce2	TCGA-NP-A5B3-11A-01-TS1.E356B2ED-5397-4E72-9CE1-6B5CA87F593C.svs	5bddd2b24260b5f2ebad55966f49cf8e	54180940	released
db1873b9-945d-4e6f-8793-926196a43198	TCGA-KO-8413-01A-01-BS1.e7848b26-966b-49f0-b3c4-95e5da651594.svs	695cf8f8cb89bcb490ff09ea37325625	739787233	released
70b42bc3-337b-467a-8be3-c5b63f9dce61	TCGA-KN-8423-11A-01-TS1.a54f10ea-b61c-4152-977a-3cd13a9782bd.svs	c499f95ffe070927bb8a052de26dc760	310138249	released
e23b3882-3cb6-4999-98a7-15009f8bf452	TCGA-KN-8430-01A-01-TS1.b07644aa-6619-48cb-b13a-954b541cdd0c.svs	4e8492759755826bbb9c71bb7a7ae6d0	934175599	released
a7796421-8db7-47e3-a210-6cc3faf1142c	TCGA-KN-8427-01A-01-TS1.65048f43-881b-4fe6-8174-6462661c8570.svs	8fab364ba2ac8335ed16ed8a3618147e	1277899679	released
f2cc21ea-4140-4cfe-a08a-89bf1c840d73	TCGA-KL-8345-01A-01-TS1.8c24e265-d93b-401b-9adb-4e0b1c7d3d5d.svs	c26cdbd9a3963bde7c76bd1b4060f1a7	1401347951	released
